region,indicator,Unit,Date,Value
Madera,selfpercapitause,gallons/day,1/1/2010 0:00,62
Madera,public,Mgal/d,1/1/2005 0:00,19.66
Madera,public,Mgal/d,1/1/2010 0:00,13.74
Madera,publicpercapita,gallons/day,1/1/2010 0:00,137
Madera,total,Mgal/d,1/1/2005 0:00,29.34
Madera,total,Mgal/d,1/1/2010 0:00,16.86
Marin,population,thousands,1/1/2000 0:00,3.77
Marin,population,thousands,1/1/2005 0:00,0.31
Marin,population,thousands,1/1/2010 0:00,5.043
Marin,groundwater,Mgal/d,1/1/2000 0:00,0.25
Marin,groundwater,Mgal/d,1/1/2005 0:00,0.76
Marin,groundwater,Mgal/d,1/1/2010 0:00,0.31
Marin,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.03
Marin,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.05
Marin,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.07
Marin,selfsupplied,Mgal/d,1/1/2000 0:00,0.28
Marin,selfsupplied,Mgal/d,1/1/2005 0:00,0.81
Marin,selfsupplied,Mgal/d,1/1/2010 0:00,0.38
Marin,selfpercapitause,gallons/day,1/1/2010 0:00,75
Marin,public,Mgal/d,1/1/2005 0:00,19.44
Marin,public,Mgal/d,1/1/2010 0:00,21.86
Marin,publicpercapita,gallons/day,1/1/2010 0:00,88
Marin,total,Mgal/d,1/1/2005 0:00,20.25
Marin,total,Mgal/d,1/1/2010 0:00,22.24
Mariposa,population,thousands,1/1/2000 0:00,13.02
Mariposa,population,thousands,1/1/2005 0:00,9.933
Mariposa,population,thousands,1/1/2010 0:00,13.461
Mariposa,groundwater,Mgal/d,1/1/2000 0:00,0.88
Mariposa,groundwater,Mgal/d,1/1/2005 0:00,2.02
Mariposa,groundwater,Mgal/d,1/1/2010 0:00,0.77
Mariposa,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.1
Mariposa,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.22
Mariposa,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.24
Mariposa,selfsupplied,Mgal/d,1/1/2000 0:00,0.98
Mariposa,selfsupplied,Mgal/d,1/1/2005 0:00,2.24
Mariposa,selfsupplied,Mgal/d,1/1/2010 0:00,1.01
Mariposa,selfpercapitause,gallons/day,1/1/2010 0:00,75
Mariposa,public,Mgal/d,1/1/2005 0:00,4.09
Mariposa,public,Mgal/d,1/1/2010 0:00,0.47
Mariposa,publicpercapita,gallons/day,1/1/2010 0:00,98
Mariposa,total,Mgal/d,1/1/2005 0:00,6.33
Mariposa,total,Mgal/d,1/1/2010 0:00,1.48
Mendocino,population,thousands,1/1/2000 0:00,33.24
Mendocino,population,thousands,1/1/2005 0:00,30.465
Mendocino,population,thousands,1/1/2010 0:00,25.901
Mendocino,groundwater,Mgal/d,1/1/2000 0:00,2.24
Mendocino,groundwater,Mgal/d,1/1/2005 0:00,3.05
Mendocino,groundwater,Mgal/d,1/1/2010 0:00,1.63
Mendocino,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.25
Mendocino,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.03
Mendocino,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.31
Mendocino,selfsupplied,Mgal/d,1/1/2000 0:00,2.49
Mendocino,selfsupplied,Mgal/d,1/1/2005 0:00,3.08
Mendocino,selfsupplied,Mgal/d,1/1/2010 0:00,1.94
Mendocino,selfpercapitause,gallons/day,1/1/2010 0:00,75
Mendocino,public,Mgal/d,1/1/2005 0:00,15.79
Mendocino,public,Mgal/d,1/1/2010 0:00,5.57
Mendocino,publicpercapita,gallons/day,1/1/2010 0:00,90
Mendocino,total,Mgal/d,1/1/2005 0:00,18.87
Mendocino,total,Mgal/d,1/1/2010 0:00,7.51
Merced,population,thousands,1/1/2000 0:00,53.14
Merced,population,thousands,1/1/2005 0:00,54.616
Merced,population,thousands,1/1/2010 0:00,50.403
Merced,groundwater,Mgal/d,1/1/2000 0:00,3.59
Merced,groundwater,Mgal/d,1/1/2005 0:00,14.01
Merced,groundwater,Mgal/d,1/1/2010 0:00,3.49
Merced,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.4
Merced,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,1.56
Merced,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.29
Merced,selfsupplied,Mgal/d,1/1/2000 0:00,3.99
Merced,selfsupplied,Mgal/d,1/1/2005 0:00,15.57
Merced,selfsupplied,Mgal/d,1/1/2010 0:00,3.78
Merced,selfpercapitause,gallons/day,1/1/2010 0:00,75
Merced,public,Mgal/d,1/1/2005 0:00,37.93
Merced,public,Mgal/d,1/1/2010 0:00,36.95
Merced,publicpercapita,gallons/day,1/1/2010 0:00,180
Merced,total,Mgal/d,1/1/2005 0:00,53.5
Merced,total,Mgal/d,1/1/2010 0:00,40.73
Modoc,population,thousands,1/1/2000 0:00,5.52
Modoc,population,thousands,1/1/2005 0:00,5.62
Modoc,population,thousands,1/1/2010 0:00,5.296
Modoc,groundwater,Mgal/d,1/1/2000 0:00,0.38
Modoc,groundwater,Mgal/d,1/1/2005 0:00,0.81
Modoc,groundwater,Mgal/d,1/1/2010 0:00,0.36
Modoc,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.04
