region,indicator,Unit,Date,Value,Preferred
Ventura,total,Mgal/d,01/01/2005 00:00:00,90.34,NO
Ventura,total,Mgal/d,01/01/2010 00:00:00,92.87,NO
Yolo,population,thousands,01/01/2000 00:00:00,33.46,YES
Yolo,population,thousands,01/01/2005 00:00:00,19.761,YES
Yolo,population,thousands,01/01/2010 00:00:00,14.539,YES
Yolo,groundwater,Mgal/d,01/01/2000 00:00:00,2.26,YES
Yolo,groundwater,Mgal/d,01/01/2005 00:00:00,12.2,YES
Yolo,groundwater,Mgal/d,01/01/2010 00:00:00,1.04,YES
Yolo,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.25,YES
Yolo,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0,YES
Yolo,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.04,YES
Yolo,selfsupplied,Mgal/d,01/01/2000 00:00:00,2.51,YES
Yolo,selfsupplied,Mgal/d,01/01/2005 00:00:00,12.2,YES
Yolo,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.08,YES
Yolo,selfpercapitause,gallons/day,01/01/2010 00:00:00,74,YES
Yolo,public,Mgal/d,01/01/2005 00:00:00,23.53,YES
Yolo,public,Mgal/d,01/01/2010 00:00:00,24.99,YES
Yolo,publicpercapita,gallons/day,01/01/2010 00:00:00,134,NO
Yolo,total,Mgal/d,01/01/2005 00:00:00,35.73,YES
Yolo,total,Mgal/d,01/01/2010 00:00:00,26.07,YES
Yuba,population,thousands,01/01/2000 00:00:00,20.89,YES
Yuba,population,thousands,01/01/2005 00:00:00,24.588,YES
Yuba,population,thousands,01/01/2010 00:00:00,11.465,YES
Yuba,groundwater,Mgal/d,01/01/2000 00:00:00,1.41,YES
Yuba,groundwater,Mgal/d,01/01/2005 00:00:00,3.35,YES
Yuba,groundwater,Mgal/d,01/01/2010 00:00:00,0.8,YES
Yuba,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.16,YES
Yuba,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.21,YES
Yuba,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.06,YES
Yuba,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.57,YES
Yuba,selfsupplied,Mgal/d,01/01/2005 00:00:00,3.56,YES
Yuba,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.86,YES
Yuba,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Yuba,public,Mgal/d,01/01/2005 00:00:00,9.27,YES
Yuba,public,Mgal/d,01/01/2010 00:00:00,7.1,YES
Yuba,publicpercapita,gallons/day,01/01/2010 00:00:00,117,NO
Yuba,total,Mgal/d,01/01/2005 00:00:00,12.83,YES
Yuba,total,Mgal/d,01/01/2010 00:00:00,7.96,YES
